question,location,intent
"How does the cash flow from operating activities of ORG compare to ORG over the past few years, can you provide a comparison of the cash flow from operating activities trends between ORG and ORG in recent years, what is the cash flow from operating activities difference between ORG and ORG over the past few years, how has the cash flow from operating activities of ORG compared to ORG over the past few years, are there any notable differences in cash flow from operating activities performance between ORG and ORG over the past few years, can you compare the cash flow from operating activities figures of ORG and ORG over the past few years, how do the cash flow from operating activities trajectories of ORG and ORG differ over the past few years, what is the cash flow from operating activities gap between ORG and ORG over the past few years, could you provide a cash flow from operating activities analysis comparing ORG and ORG over the past few years, how has the cash flow from operating activities trend for ORG compared to ORG's trend over the past few years?",fun_comparative,Cash Flow from Operating
"How does the cash flow from investing activities of ORG compare to ORG over the past few years, can you provide a comparison of the cash flow from investing activities trends between ORG and ORG in recent years, what is the cash flow from investing activities difference between ORG and ORG over the past few years, how has the cash flow from investing activities of ORG compared to ORG over the past few years, are there any notable differences in cash flow from investing activities performance between ORG and ORG over the past few years, can you compare the cash flow from investing activities figures of ORG and ORG over the past few years, how do the cash flow from investing activities trajectories of ORG and ORG differ over the past few years, what is the cash flow from investing activities gap between ORG and ORG over the past few years, could you provide a cash flow from investing activities analysis comparing ORG and ORG over the past few years, how has the cash flow from investing activities trend for ORG compared to ORG's trend over the past few years?",fun_comparative,Cash Flow from Investing
"How does the cash flow from financial activities of ORG compare to ORG over the past few years, can you provide a comparison of the cash flow from financial activities trends between ORG and ORG in recent years, what is the cash flow from financial activities difference between ORG and ORG over the past few years, how has the cash flow from financial activities of ORG compared to ORG over the past few years, are there any notable differences in cash flow from financial activities performance between ORG and ORG over the past few years, can you compare the cash flow from financial activities figures of ORG and ORG over the past few years, how do the cash flow from financial activities trajectories of ORG and ORG differ over the past few years, what is the cash flow from financial activities gap between ORG and ORG over the past few years, could you provide a cash flow from financial activities analysis comparing ORG and ORG over the past few years, how has the cash flow from financial activities trend for ORG compared to ORG's trend over the past few years?",fun_comparative,Cash Flow from Financial Activities
"How does the return on equity(ROE) of ORG compare to ORG over the past few years, can you provide a comparison of the return on equity(ROE) trends between ORG and ORG in recent years, what is the return on equity(ROE) difference between ORG and ORG over the past few years, how has the return on equity(ROE) of ORG compared to ORG over the past few years, are there any notable differences in return on equity(ROE) performance between ORG and ORG over the past few years, can you compare the return on equity(ROE) figures of ORG and ORG over the past few years, how do the return on equity(ROE) trajectories of ORG and ORG differ over the past few years, what is the return on equity(ROE) gap between ORG and ORG over the past few years, could you provide a return on equity(ROE) analysis comparing ORG and ORG over the past few years, how has the return on equity(ROE) trend for ORG compared to ORG's trend over the past few years?",fun_comparative,ROE
"How does the return on assets(ROA) of ORG compare to ORG over the past few years, can you provide a comparison of the return on assets(ROA) trends between ORG and ORG in recent years, what is the return on assets(ROA) difference between ORG and ORG over the past few years, how has the return on assets(ROA) of ORG compared to ORG over the past few years, are there any notable differences in return on assets(ROA) performance between ORG and ORG over the past few years, can you compare the return on asset(ROA)s figures of ORG and ORG over the past few years, how do the return on assets trajectories of ORG and ORG differ over the past few years, what is the return on asset(ROA)s gap between ORG and ORG over the past few years, could you provide a return on assets(ROA)?",fun_comparative,ROA
"How does the return on investment(ROI) of ORG compare to ORG over the past few years, can you provide a comparison of the return on investment(ROI) trends between ORG and ORG in recent years, what is the return on investment(ROI) difference between ORG and ORG over the past few years, how has the return on investment(ROI) of ORG compared to ORG over the past few years, are there any notable differences in return on investment(ROI) performance between ORG and ORG over the past few years, can you compare the return on investment(ROI) figures of ORG and ORG over the past few years, how do the return on investment(ROI) trajectories of ORG and ORG differ over the past few years, what is the return on investment(ROI) gap between ORG and ORG over the past few years, could you provide a return on investment analysis comparing ORG and ORG over the past few years, how has the return on investment(ROI) trend for ORG compared to ORG's trend over the past few years?",fun_comparative,ROI
"How does the return on tangible equity of ORG compare to ORG over the past few years, can you provide a comparison of the return on tangible equity trends between ORG and ORG in recent years, what is the return on tangible equity difference between ORG and ORG over the past few years, how has the return on tangible equity of ORG compared to ORG over the past few years, are there any notable differences in return on tangible equity performance between ORG and ORG over the past few years, can you compare the return on tangible equity figures of ORG and ORG over the past few years, how do the return on tangible equity trajectories of ORG and ORG differ over the past few years, what is the return on tangible equity gap between ORG and ORG over the past few years, could you provide a return on tangible equity analysis comparing ORG and ORG over the past few years, how has the return on tangible equity trend for ORG compared to ORG's trend over the past few years?",fun_comparative,Return on Tangible Equity
"How does the shareholder equity of ORG compare to ORG over the past few years, can you provide a comparison of the shareholder equity trends between ORG and ORG in recent years, what is the shareholder equity difference between ORG and ORG over the past few years, how has the shareholder equity of ORG compared to ORG over the past few years, are there any notable differences in shareholder equity performance between ORG and ORG over the past few years, can you compare the shareholder equity figures of ORG and ORG over the past few years, how do the shareholder equity trajectories of ORG and ORG differ over the past few years, what is the shareholder equity gap between ORG and ORG over the past few years, could you provide a shareholder equity analysis comparing ORG and ORG over the past few years, how has the shareholder equity trend for ORG compared to ORG's trend over the past few years?",fun_comparative,Share Holder Equity
"How does the free cash flow per share of ORG compare to ORG over the past few years, can you provide a comparison of the free cash flow per share trends between ORG and ORG in recent years, what is the free cash flow per share difference between ORG and ORG over the past few years, how has the free cash flow per share of ORG compared to ORG over the past few years, are there any notable differences in free cash flow per share performance between ORG and ORG over the past few years, can you compare the free cash flow per share figures of ORG and ORG over the past few years, how do the free cash flow per share trajectories of ORG and ORG differ over the past few years, what is the free cash flow per share gap between ORG and ORG over the past few years, could you provide a free cash flow per share analysis comparing ORG and ORG over the past few years, how has the free cash flow per share trend for ORG compared to ORG's trend over the past few years?",fun_comparative,Free Cash Flow per Share
"What is the stock valuation of ORG in DATE? How was ORG's stock price performance in DATE? How does the stock valuation of ORG in DATE compare to ORG's stock valuation in DATE? Can you provide a comparison of ORG's stock price performance between DATE and DATE? How has ORG's stock price trended over the years, particularly in DATE? What factors influenced ORG's stock price in DATE? Can you analyze ORG's stock price movements in DATE? How does the stock performance of ORG in DATE compare to the overall market performance? Were there any significant events or announcements that impacted ORG's stock price in DATE? Can you provide a detailed analysis of ORG's stock price movements in DATE?",fun_stock,stock
"What is the risk of ORG in DATE? How has ORG's risk trended over the years, particularly in DATE? What factors influenced ORG's risk in DATE? Can you analyze ORG's risk movements in DATE? How does the risk of ORG in DATE compare to the overall market risk? Were there any significant events or announcements that impacted ORG's risk in DATE? Can you provide a detailed analysis of ORG's risk movements in DATE?",fun_risk,risk Analyst
"Capital budgeting analysis for Apple in the year 2019?, How did Apple finance its capital expenditures in 2019?,  What were the major capital expenditures for Apple in 2019?, How did Apple prioritize its capital projects in 2019?",fun_capital,Capital budgeting
Should I invest in ORG? Is ORG a good investment option? What is the long-term outlook for ORG's stock? What are analyst's recommendations regarding investment in ORG?,fun_invest,Invesment
